name,year,award,movie,win
Joel Grey,1972,ACTOR IN A SUPPORTING ROLE,Cabaret,True
Al Pacino,1972,ACTOR IN A SUPPORTING ROLE,The Godfather,False
Liza Minnelli,1972,ACTRESS,Cabaret,True
Diana Ross,1972,ACTRESS,Lady Sings the Blues,False
Maggie Smith,1972,ACTRESS,Travels with My Aunt,False
Cicely Tyson,1972,ACTRESS,Sounder,False
Liv Ullmann,1972,ACTRESS,The Emigrants,False
Jeannie Berlin,1972,ACTRESS IN A SUPPORTING ROLE,The Heartbreak Kid,False
Eileen Heckart,1972,ACTRESS IN A SUPPORTING ROLE,Butterflies Are Free,True
Geraldine Page,1972,ACTRESS IN A SUPPORTING ROLE,Pete 'n' Tillie,False
Susan Tyrrell,1972,ACTRESS IN A SUPPORTING ROLE,Fat City,False
Shelley Winters,1972,ACTRESS IN A SUPPORTING ROLE,The Poseidon Adventure,False
Marlon Brando,1973,ACTOR,Last Tango in Paris,False
Jack Lemmon,1973,ACTOR,Save the Tiger,True
Jack Nicholson,1973,ACTOR,The Last Detail,False
Al Pacino,1973,ACTOR,Serpico,False
Robert Redford,1973,ACTOR,The Sting,False
Vincent Gardenia,1973,ACTOR IN A SUPPORTING ROLE,Bang the Drum Slowly,False
Jack Gilford,1973,ACTOR IN A SUPPORTING ROLE,Save the Tiger,False
John Houseman,1973,ACTOR IN A SUPPORTING ROLE,The Paper Chase,True
Jason Miller,1973,ACTOR IN A SUPPORTING ROLE,The Exorcist,False
Randy Quaid,1973,ACTOR IN A SUPPORTING ROLE,The Last Detail,False
Ellen Burstyn,1973,ACTRESS,The Exorcist,False
Glenda Jackson,1973,ACTRESS,A Touch of Class,True
Marsha Mason,1973,ACTRESS,Cinderella Liberty,False
Barbra Streisand,1973,ACTRESS,The Way We Were,False
Joanne Woodward,1973,ACTRESS,"Summer Wishes, Winter Dreams",False
Linda Blair,1973,ACTRESS IN A SUPPORTING ROLE,The Exorcist,False
Candy Clark,1973,ACTRESS IN A SUPPORTING ROLE,American Graffiti,False
Madeline Kahn,1973,ACTRESS IN A SUPPORTING ROLE,Paper Moon,False
Tatum O'Neal,1973,ACTRESS IN A SUPPORTING ROLE,Paper Moon,True
Sylvia Sidney,1973,ACTRESS IN A SUPPORTING ROLE,"Summer Wishes, Winter Dreams",False
Art Carney,1974,ACTOR,Harry and Tonto,True
Albert Finney,1974,ACTOR,Murder on the Orient Express,False
Dustin Hoffman,1974,ACTOR,Lenny,False
Jack Nicholson,1974,ACTOR,Chinatown,False
Al Pacino,1974,ACTOR,The Godfather Part II,False
Fred Astaire,1974,ACTOR IN A SUPPORTING ROLE,The Towering Inferno,False
Jeff Bridges,1974,ACTOR IN A SUPPORTING ROLE,Thunderbolt and Lightfoot,False
Robert De Niro,1974,ACTOR IN A SUPPORTING ROLE,The Godfather Part II,True
Michael V. Gazzo,1974,ACTOR IN A SUPPORTING ROLE,The Godfather Part II,False
Lee Strasberg,1974,ACTOR IN A SUPPORTING ROLE,The Godfather Part II,False
Ellen Burstyn,1974,ACTRESS,Alice Doesn't Live Here Anymore,True
Diahann Carroll,1974,ACTRESS,Claudine,False
Faye Dunaway,1974,ACTRESS,Chinatown,False
Valerie Perrine,1974,ACTRESS,Lenny,False
Gena Rowlands,1974,ACTRESS,A Woman under the Influence,False
Ingrid Bergman,1974,ACTRESS IN A SUPPORTING ROLE,Murder on the Orient Express,True
Valentina Cortese,1974,ACTRESS IN A SUPPORTING ROLE,Day for Night,False
Madeline Kahn,1974,ACTRESS IN A SUPPORTING ROLE,Blazing Saddles,False
Diane Ladd,1974,ACTRESS IN A SUPPORTING ROLE,Alice Doesn't Live Here Anymore,False
Talia Shire,1974,ACTRESS IN A SUPPORTING ROLE,The Godfather Part II,False
Walter Matthau,1975,ACTOR,The Sunshine Boys,False
Jack Nicholson,1975,ACTOR,One Flew over the Cuckoo's Nest,True
Al Pacino,1975,ACTOR,Dog Day Afternoon,False
Maximilian Schell,1975,ACTOR,The Man in the Glass Booth,False
James Whitmore,1975,ACTOR,"Give 'em Hell, Harry!",False
George Burns,1975,ACTOR IN A SUPPORTING ROLE,The Sunshine Boys,True
Brad Dourif,1975,ACTOR IN A SUPPORTING ROLE,One Flew over the Cuckoo's Nest,False
Burgess Meredith,1975,ACTOR IN A SUPPORTING ROLE,The Day of the Locust,False
Chris Sarandon,1975,ACTOR IN A SUPPORTING ROLE,Dog Day Afternoon,False
Jack Warden,1975,ACTOR IN A SUPPORTING ROLE,Shampoo,False
Isabelle Adjani,1975,ACTRESS,The Story of Adele H.,False
Ann-Margret,1975,ACTRESS,Tommy,False
Louise Fletcher,1975,ACTRESS,One Flew over the Cuckoo's Nest,True
Glenda Jackson,1975,ACTRESS,Hedda,False
Carol Kane,1975,ACTRESS,Hester Street,False
Ronee Blakley,1975,ACTRESS IN A SUPPORTING ROLE,Nashville,False
Lee Grant,1975,ACTRESS IN A SUPPORTING ROLE,Shampoo,True
Sylvia Miles,1975,ACTRESS IN A SUPPORTING ROLE,"Farewell, My Lovely",False
Lily Tomlin,1975,ACTRESS IN A SUPPORTING ROLE,Nashville,False
Brenda Vaccaro,1975,ACTRESS IN A SUPPORTING ROLE,Jacqueline Susann's Once Is Not Enough,False
Robert De Niro,1976,ACTOR IN A LEADING ROLE,Taxi Driver,False
Peter Finch,1976,ACTOR IN A LEADING ROLE,Network,True
Giancarlo Giannini,1976,ACTOR IN A LEADING ROLE,Seven Beauties,False
William Holden,1976,ACTOR IN A LEADING ROLE,Network,False
Sylvester Stallone,1976,ACTOR IN A LEADING ROLE,Rocky,False
Ned Beatty,1976,ACTOR IN A SUPPORTING ROLE,Network,False
Burgess Meredith,1976,ACTOR IN A SUPPORTING ROLE,Rocky,False
Laurence Olivier,1976,ACTOR IN A SUPPORTING ROLE,Marathon Man,False
Jason Robards,1976,ACTOR IN A SUPPORTING ROLE,All the President's Men,True
Burt Young,1976,ACTOR IN A SUPPORTING ROLE,Rocky,False
Marie-Christine Barrault,1976,ACTRESS IN A LEADING ROLE,"Cousin, Cousine",False
Faye Dunaway,1976,ACTRESS IN A LEADING ROLE,Network,True
Talia Shire,1976,ACTRESS IN A LEADING ROLE,Rocky,False
Sissy Spacek,1976,ACTRESS IN A LEADING ROLE,Carrie,False
Liv Ullmann,1976,ACTRESS IN A LEADING ROLE,Face to Face,False
Jane Alexander,1976,ACTRESS IN A SUPPORTING ROLE,All the President's Men,False
Jodie Foster,1976,ACTRESS IN A SUPPORTING ROLE,Taxi Driver,False
Lee Grant,1976,ACTRESS IN A SUPPORTING ROLE,Voyage of the Damned,False
Piper Laurie,1976,ACTRESS IN A SUPPORTING ROLE,Carrie,False
Beatrice Straight,1976,ACTRESS IN A SUPPORTING ROLE,Network,True
Woody Allen,1977,ACTOR IN A LEADING ROLE,Annie Hall,False
Richard Burton,1977,ACTOR IN A LEADING ROLE,Equus,False
Richard Dreyfuss,1977,ACTOR IN A LEADING ROLE,The Goodbye Girl,True
Marcello Mastroianni,1977,ACTOR IN A LEADING ROLE,A Special Day,False
John Travolta,1977,ACTOR IN A LEADING ROLE,Saturday Night Fever,False
Mikhail Baryshnikov,1977,ACTOR IN A SUPPORTING ROLE,The Turning Point,False
Peter Firth,1977,ACTOR IN A SUPPORTING ROLE,Equus,False
Alec Guinness,1977,ACTOR IN A SUPPORTING ROLE,Star Wars,False
Jason Robards,1977,ACTOR IN A SUPPORTING ROLE,Julia,True
Maximilian Schell,1977,ACTOR IN A SUPPORTING ROLE,Julia,False
Anne Bancroft,1977,ACTRESS IN A LEADING ROLE,The Turning Point,False
Jane Fonda,1977,ACTRESS IN A LEADING ROLE,Julia,False
Diane Keaton,1977,ACTRESS IN A LEADING ROLE,Annie Hall,True
Shirley MacLaine,1977,ACTRESS IN A LEADING ROLE,The Turning Point,False
Marsha Mason,1977,ACTRESS IN A LEADING ROLE,The Goodbye Girl,False
Leslie Browne,1977,ACTRESS IN A SUPPORTING ROLE,The Turning Point,False
Quinn Cummings,1977,ACTRESS IN A SUPPORTING ROLE,The Goodbye Girl,False
Melinda Dillon,1977,ACTRESS IN A SUPPORTING ROLE,Close Encounters of the Third Kind,False
Vanessa Redgrave,1977,ACTRESS IN A SUPPORTING ROLE,Julia,True
Tuesday Weld,1977,ACTRESS IN A SUPPORTING ROLE,Looking for Mr. Goodbar,False
Warren Beatty,1978,ACTOR IN A LEADING ROLE,Heaven Can Wait,False
Gary Busey,1978,ACTOR IN A LEADING ROLE,The Buddy Holly Story,False
Robert De Niro,1978,ACTOR IN A LEADING ROLE,The Deer Hunter,False
Laurence Olivier,1978,ACTOR IN A LEADING ROLE,The Boys from Brazil,False
Jon Voight,1978,ACTOR IN A LEADING ROLE,Coming Home,True
Bruce Dern,1978,ACTOR IN A SUPPORTING ROLE,Coming Home,False
Richard Farnsworth,1978,ACTOR IN A SUPPORTING ROLE,Comes a Horseman,False
John Hurt,1978,ACTOR IN A SUPPORTING ROLE,Midnight Express,False
Christopher Walken,1978,ACTOR IN A SUPPORTING ROLE,The Deer Hunter,True
Jack Warden,1978,ACTOR IN A SUPPORTING ROLE,Heaven Can Wait,False
Ingrid Bergman,1978,ACTRESS IN A LEADING ROLE,Autumn Sonata,False
Ellen Burstyn,1978,ACTRESS IN A LEADING ROLE,"Same Time, Next Year",False
Jill Clayburgh,1978,ACTRESS IN A LEADING ROLE,An Unmarried Woman,False
Jane Fonda,1978,ACTRESS IN A LEADING ROLE,Coming Home,True
Geraldine Page,1978,ACTRESS IN A LEADING ROLE,Interiors,False
Dyan Cannon,1978,ACTRESS IN A SUPPORTING ROLE,Heaven Can Wait,False
Penelope Milford,1978,ACTRESS IN A SUPPORTING ROLE,Coming Home,False
Maggie Smith,1978,ACTRESS IN A SUPPORTING ROLE,California Suite,True
Maureen Stapleton,1978,ACTRESS IN A SUPPORTING ROLE,Interiors,False
Meryl Streep,1978,ACTRESS IN A SUPPORTING ROLE,The Deer Hunter,False
Dustin Hoffman,1979,ACTOR IN A LEADING ROLE,Kramer vs. Kramer,True
Jack Lemmon,1979,ACTOR IN A LEADING ROLE,The China Syndrome,False
Al Pacino,1979,ACTOR IN A LEADING ROLE,...And Justice for All,False
Roy Scheider,1979,ACTOR IN A LEADING ROLE,All That Jazz,False
Peter Sellers,1979,ACTOR IN A LEADING ROLE,Being There,False
Melvyn Douglas,1979,ACTOR IN A SUPPORTING ROLE,Being There,True
Robert Duvall,1979,ACTOR IN A SUPPORTING ROLE,Apocalypse Now,False
Frederic Forrest,1979,ACTOR IN A SUPPORTING ROLE,The Rose,False
Justin Henry,1979,ACTOR IN A SUPPORTING ROLE,Kramer vs. Kramer,False
Mickey Rooney,1979,ACTOR IN A SUPPORTING ROLE,The Black Stallion,False
Jill Clayburgh,1979,ACTRESS IN A LEADING ROLE,Starting Over,False
Sally Field,1979,ACTRESS IN A LEADING ROLE,Norma Rae,True
Jane Fonda,1979,ACTRESS IN A LEADING ROLE,The China Syndrome,False
Marsha Mason,1979,ACTRESS IN A LEADING ROLE,Chapter Two,False
Bette Midler,1979,ACTRESS IN A LEADING ROLE,The Rose,False
Jane Alexander,1979,ACTRESS IN A SUPPORTING ROLE,Kramer vs. Kramer,False
Barbara Barrie,1979,ACTRESS IN A SUPPORTING ROLE,Breaking Away,False
Candice Bergen,1979,ACTRESS IN A SUPPORTING ROLE,Starting Over,False
Mariel Hemingway,1979,ACTRESS IN A SUPPORTING ROLE,Manhattan,False
Meryl Streep,1979,ACTRESS IN A SUPPORTING ROLE,Kramer vs. Kramer,True
Robert De Niro,1980,ACTOR IN A LEADING ROLE,Raging Bull,True
Robert Duvall,1980,ACTOR IN A LEADING ROLE,The Great Santini,False
John Hurt,1980,ACTOR IN A LEADING ROLE,The Elephant Man,False
Jack Lemmon,1980,ACTOR IN A LEADING ROLE,Tribute,False
Peter O'Toole,1980,ACTOR IN A LEADING ROLE,The Stunt Man,False
Judd Hirsch,1980,ACTOR IN A SUPPORTING ROLE,Ordinary People,False
Timothy Hutton,1980,ACTOR IN A SUPPORTING ROLE,Ordinary People,True
Michael O'Keefe,1980,ACTOR IN A SUPPORTING ROLE,The Great Santini,False
Joe Pesci,1980,ACTOR IN A SUPPORTING ROLE,Raging Bull,False
Jason Robards,1980,ACTOR IN A SUPPORTING ROLE,Melvin and Howard,False
Ellen Burstyn,1980,ACTRESS IN A LEADING ROLE,Resurrection,False
Goldie Hawn,1980,ACTRESS IN A LEADING ROLE,Private Benjamin,False
Mary Tyler Moore,1980,ACTRESS IN A LEADING ROLE,Ordinary People,False
Gena Rowlands,1980,ACTRESS IN A LEADING ROLE,Gloria,False
Sissy Spacek,1980,ACTRESS IN A LEADING ROLE,Coal Miner's Daughter,True
Eileen Brennan,1980,ACTRESS IN A SUPPORTING ROLE,Private Benjamin,False
Eva Le Gallienne,1980,ACTRESS IN A SUPPORTING ROLE,Resurrection,False
Cathy Moriarty,1980,ACTRESS IN A SUPPORTING ROLE,Raging Bull,False
Diana Scarwid,1980,ACTRESS IN A SUPPORTING ROLE,Inside Moves,False
Mary Steenburgen,1980,ACTRESS IN A SUPPORTING ROLE,Melvin and Howard,True
Warren Beatty,1981,ACTOR IN A LEADING ROLE,Reds,False
Henry Fonda,1981,ACTOR IN A LEADING ROLE,On Golden Pond,True
Burt Lancaster,1981,ACTOR IN A LEADING ROLE,Atlantic City,False
Dudley Moore,1981,ACTOR IN A LEADING ROLE,Arthur,False
Paul Newman,1981,ACTOR IN A LEADING ROLE,Absence of Malice,False
James Coco,1981,ACTOR IN A SUPPORTING ROLE,Only When I Laugh,False
John Gielgud,1981,ACTOR IN A SUPPORTING ROLE,Arthur,True
Ian Holm,1981,ACTOR IN A SUPPORTING ROLE,Chariots of Fire,False
Jack Nicholson,1981,ACTOR IN A SUPPORTING ROLE,Reds,False
"Howard E. Rollins, Jr.",1981,ACTOR IN A SUPPORTING ROLE,Ragtime,False
Katharine Hepburn,1981,ACTRESS IN A LEADING ROLE,On Golden Pond,True
Diane Keaton,1981,ACTRESS IN A LEADING ROLE,Reds,False
Marsha Mason,1981,ACTRESS IN A LEADING ROLE,Only When I Laugh,False
Susan Sarandon,1981,ACTRESS IN A LEADING ROLE,Atlantic City,False
Meryl Streep,1981,ACTRESS IN A LEADING ROLE,The French Lieutenant's Woman,False
Melinda Dillon,1981,ACTRESS IN A SUPPORTING ROLE,Absence of Malice,False
Jane Fonda,1981,ACTRESS IN A SUPPORTING ROLE,On Golden Pond,False
Joan Hackett,1981,ACTRESS IN A SUPPORTING ROLE,Only When I Laugh,False
Elizabeth McGovern,1981,ACTRESS IN A SUPPORTING ROLE,Ragtime,False
Maureen Stapleton,1981,ACTRESS IN A SUPPORTING ROLE,Reds,True
Dustin Hoffman,1982,ACTOR IN A LEADING ROLE,Tootsie,False
Ben Kingsley,1982,ACTOR IN A LEADING ROLE,Gandhi,True
Jack Lemmon,1982,ACTOR IN A LEADING ROLE,Missing,False
Paul Newman,1982,ACTOR IN A LEADING ROLE,The Verdict,False
Peter O'Toole,1982,ACTOR IN A LEADING ROLE,My Favorite Year,False
Charles Durning,1982,ACTOR IN A SUPPORTING ROLE,The Best Little Whorehouse in Texas,False
"Louis Gossett, Jr.",1982,ACTOR IN A SUPPORTING ROLE,An Officer and a Gentleman,True
John Lithgow,1982,ACTOR IN A SUPPORTING ROLE,The World According to Garp,False
James Mason,1982,ACTOR IN A SUPPORTING ROLE,The Verdict,False
Robert Preston,1982,ACTOR IN A SUPPORTING ROLE,Victor/Victoria,False
Julie Andrews,1982,ACTRESS IN A LEADING ROLE,Victor/Victoria,False
Jessica Lange,1982,ACTRESS IN A LEADING ROLE,Frances,False
Sissy Spacek,1982,ACTRESS IN A LEADING ROLE,Missing,False
Meryl Streep,1982,ACTRESS IN A LEADING ROLE,Sophie's Choice,True
Debra Winger,1982,ACTRESS IN A LEADING ROLE,An Officer and a Gentleman,False
Glenn Close,1982,ACTRESS IN A SUPPORTING ROLE,The World According to Garp,False
Teri Garr,1982,ACTRESS IN A SUPPORTING ROLE,Tootsie,False
Jessica Lange,1982,ACTRESS IN A SUPPORTING ROLE,Tootsie,True
Kim Stanley,1982,ACTRESS IN A SUPPORTING ROLE,Frances,False
Lesley Ann Warren,1982,ACTRESS IN A SUPPORTING ROLE,Victor/Victoria,False
Michael Caine,1983,ACTOR IN A LEADING ROLE,Educating Rita,False
Tom Conti,1983,ACTOR IN A LEADING ROLE,"Reuben, Reuben",False
Tom Courtenay,1983,ACTOR IN A LEADING ROLE,The Dresser,False
Robert Duvall,1983,ACTOR IN A LEADING ROLE,Tender Mercies,True
Albert Finney,1983,ACTOR IN A LEADING ROLE,The Dresser,False
Charles Durning,1983,ACTOR IN A SUPPORTING ROLE,To Be or Not to Be,False
John Lithgow,1983,ACTOR IN A SUPPORTING ROLE,Terms of Endearment,False
Jack Nicholson,1983,ACTOR IN A SUPPORTING ROLE,Terms of Endearment,True
Sam Shepard,1983,ACTOR IN A SUPPORTING ROLE,The Right Stuff,False
Rip Torn,1983,ACTOR IN A SUPPORTING ROLE,Cross Creek,False
Jane Alexander,1983,ACTRESS IN A LEADING ROLE,Testament,False
Shirley MacLaine,1983,ACTRESS IN A LEADING ROLE,Terms of Endearment,True
Meryl Streep,1983,ACTRESS IN A LEADING ROLE,Silkwood,False
Julie Walters,1983,ACTRESS IN A LEADING ROLE,Educating Rita,False
Debra Winger,1983,ACTRESS IN A LEADING ROLE,Terms of Endearment,False
Cher,1983,ACTRESS IN A SUPPORTING ROLE,Silkwood,False
Glenn Close,1983,ACTRESS IN A SUPPORTING ROLE,The Big Chill,False
Linda Hunt,1983,ACTRESS IN A SUPPORTING ROLE,The Year of Living Dangerously,True
Amy Irving,1983,ACTRESS IN A SUPPORTING ROLE,Yentl,False
Alfre Woodard,1983,ACTRESS IN A SUPPORTING ROLE,Cross Creek,False
F. Murray Abraham,1984,ACTOR IN A LEADING ROLE,Amadeus,True
Jeff Bridges,1984,ACTOR IN A LEADING ROLE,Starman,False
Albert Finney,1984,ACTOR IN A LEADING ROLE,Under the Volcano,False
Tom Hulce,1984,ACTOR IN A LEADING ROLE,Amadeus,False
Sam Waterston,1984,ACTOR IN A LEADING ROLE,The Killing Fields,False
Adolph Caesar,1984,ACTOR IN A SUPPORTING ROLE,A Soldier's Story,False
John Malkovich,1984,ACTOR IN A SUPPORTING ROLE,Places in the Heart,False
Noriyuki 'Pat' Morita,1984,ACTOR IN A SUPPORTING ROLE,The Karate Kid,False
Haing S. Ngor,1984,ACTOR IN A SUPPORTING ROLE,The Killing Fields,True
Ralph Richardson,1984,ACTOR IN A SUPPORTING ROLE,"Greystoke: The Legend of Tarzan, Lord of the Apes",False
Judy Davis,1984,ACTRESS IN A LEADING ROLE,A Passage to India,False
Sally Field,1984,ACTRESS IN A LEADING ROLE,Places in the Heart,True
Jessica Lange,1984,ACTRESS IN A LEADING ROLE,Country,False
Vanessa Redgrave,1984,ACTRESS IN A LEADING ROLE,The Bostonians,False
Sissy Spacek,1984,ACTRESS IN A LEADING ROLE,The River,False
Peggy Ashcroft,1984,ACTRESS IN A SUPPORTING ROLE,A Passage to India,True
Glenn Close,1984,ACTRESS IN A SUPPORTING ROLE,The Natural,False
Lindsay Crouse,1984,ACTRESS IN A SUPPORTING ROLE,Places in the Heart,False
Christine Lahti,1984,ACTRESS IN A SUPPORTING ROLE,Swing Shift,False
Geraldine Page,1984,ACTRESS IN A SUPPORTING ROLE,The Pope of Greenwich Village,False
Harrison Ford,1985,ACTOR IN A LEADING ROLE,Witness,False
James Garner,1985,ACTOR IN A LEADING ROLE,Murphy's Romance,False
William Hurt,1985,ACTOR IN A LEADING ROLE,Kiss of the Spider Woman,True
Jack Nicholson,1985,ACTOR IN A LEADING ROLE,Prizzi's Honor,False
Jon Voight,1985,ACTOR IN A LEADING ROLE,Runaway Train,False
Don Ameche,1985,ACTOR IN A SUPPORTING ROLE,Cocoon,True
Klaus Maria Brandauer,1985,ACTOR IN A SUPPORTING ROLE,Out of Africa,False
William Hickey,1985,ACTOR IN A SUPPORTING ROLE,Prizzi's Honor,False
Robert Loggia,1985,ACTOR IN A SUPPORTING ROLE,Jagged Edge,False
Eric Roberts,1985,ACTOR IN A SUPPORTING ROLE,Runaway Train,False
Anne Bancroft,1985,ACTRESS IN A LEADING ROLE,Agnes of God,False
Whoopi Goldberg,1985,ACTRESS IN A LEADING ROLE,The Color Purple,False
Jessica Lange,1985,ACTRESS IN A LEADING ROLE,Sweet Dreams,False
Geraldine Page,1985,ACTRESS IN A LEADING ROLE,The Trip to Bountiful,True
Meryl Streep,1985,ACTRESS IN A LEADING ROLE,Out of Africa,False
Margaret Avery,1985,ACTRESS IN A SUPPORTING ROLE,The Color Purple,False
Anjelica Huston,1985,ACTRESS IN A SUPPORTING ROLE,Prizzi's Honor,True
Amy Madigan,1985,ACTRESS IN A SUPPORTING ROLE,Twice in a Lifetime,False
Meg Tilly,1985,ACTRESS IN A SUPPORTING ROLE,Agnes of God,False
Oprah Winfrey,1985,ACTRESS IN A SUPPORTING ROLE,The Color Purple,False
Dexter Gordon,1986,ACTOR IN A LEADING ROLE,'Round Midnight,False
Bob Hoskins,1986,ACTOR IN A LEADING ROLE,Mona Lisa,False
William Hurt,1986,ACTOR IN A LEADING ROLE,Children of a Lesser God,False
Paul Newman,1986,ACTOR IN A LEADING ROLE,The Color of Money,True
James Woods,1986,ACTOR IN A LEADING ROLE,Salvador,False
Tom Berenger,1986,ACTOR IN A SUPPORTING ROLE,Platoon,False
Michael Caine,1986,ACTOR IN A SUPPORTING ROLE,Hannah and Her Sisters,True
Willem Dafoe,1986,ACTOR IN A SUPPORTING ROLE,Platoon,False
Denholm Elliott,1986,ACTOR IN A SUPPORTING ROLE,A Room with a View,False
Dennis Hopper,1986,ACTOR IN A SUPPORTING ROLE,Hoosiers,False
Jane Fonda,1986,ACTRESS IN A LEADING ROLE,The Morning After,False
Marlee Matlin,1986,ACTRESS IN A LEADING ROLE,Children of a Lesser God,True
Sissy Spacek,1986,ACTRESS IN A LEADING ROLE,Crimes of the Heart,False
Kathleen Turner,1986,ACTRESS IN A LEADING ROLE,Peggy Sue Got Married,False
Sigourney Weaver,1986,ACTRESS IN A LEADING ROLE,Aliens,False
Tess Harper,1986,ACTRESS IN A SUPPORTING ROLE,Crimes of the Heart,False
Piper Laurie,1986,ACTRESS IN A SUPPORTING ROLE,Children of a Lesser God,False
Mary Elizabeth Mastrantonio,1986,ACTRESS IN A SUPPORTING ROLE,The Color of Money,False
Maggie Smith,1986,ACTRESS IN A SUPPORTING ROLE,A Room with a View,False
Dianne Wiest,1986,ACTRESS IN A SUPPORTING ROLE,Hannah and Her Sisters,True
Michael Douglas,1987,ACTOR IN A LEADING ROLE,Wall Street,True
William Hurt,1987,ACTOR IN A LEADING ROLE,Broadcast News,False
Marcello Mastroianni,1987,ACTOR IN A LEADING ROLE,Dark Eyes,False
Jack Nicholson,1987,ACTOR IN A LEADING ROLE,Ironweed,False
Robin Williams,1987,ACTOR IN A LEADING ROLE,"Good Morning, Vietnam",False
Albert Brooks,1987,ACTOR IN A SUPPORTING ROLE,Broadcast News,False
Sean Connery,1987,ACTOR IN A SUPPORTING ROLE,The Untouchables,True
Morgan Freeman,1987,ACTOR IN A SUPPORTING ROLE,Street Smart,False
Vincent Gardenia,1987,ACTOR IN A SUPPORTING ROLE,Moonstruck,False
Denzel Washington,1987,ACTOR IN A SUPPORTING ROLE,Cry Freedom,False
Cher,1987,ACTRESS IN A LEADING ROLE,Moonstruck,True
Glenn Close,1987,ACTRESS IN A LEADING ROLE,Fatal Attraction,False
Holly Hunter,1987,ACTRESS IN A LEADING ROLE,Broadcast News,False
Sally Kirkland,1987,ACTRESS IN A LEADING ROLE,Anna,False
Meryl Streep,1987,ACTRESS IN A LEADING ROLE,Ironweed,False
Norma Aleandro,1987,ACTRESS IN A SUPPORTING ROLE,Gaby - A True Story,False
Anne Archer,1987,ACTRESS IN A SUPPORTING ROLE,Fatal Attraction,False
Olympia Dukakis,1987,ACTRESS IN A SUPPORTING ROLE,Moonstruck,True
Anne Ramsey,1987,ACTRESS IN A SUPPORTING ROLE,Throw Momma from the Train,False
Ann Sothern,1987,ACTRESS IN A SUPPORTING ROLE,The Whales of August,False
Gene Hackman,1988,ACTOR IN A LEADING ROLE,Mississippi Burning,False
Tom Hanks,1988,ACTOR IN A LEADING ROLE,Big,False
Dustin Hoffman,1988,ACTOR IN A LEADING ROLE,Rain Man,True
Edward James Olmos,1988,ACTOR IN A LEADING ROLE,Stand and Deliver,False
Max von Sydow,1988,ACTOR IN A LEADING ROLE,Pelle the Conqueror,False
Alec Guinness,1988,ACTOR IN A SUPPORTING ROLE,Little Dorrit,False
Kevin Kline,1988,ACTOR IN A SUPPORTING ROLE,A Fish Called Wanda,True
Martin Landau,1988,ACTOR IN A SUPPORTING ROLE,Tucker The Man and His Dream,False
River Phoenix,1988,ACTOR IN A SUPPORTING ROLE,Running on Empty,False
Dean Stockwell,1988,ACTOR IN A SUPPORTING ROLE,Married to the Mob,False
Glenn Close,1988,ACTRESS IN A LEADING ROLE,Dangerous Liaisons,False
Jodie Foster,1988,ACTRESS IN A LEADING ROLE,The Accused,True
Melanie Griffith,1988,ACTRESS IN A LEADING ROLE,Working Girl,False
Meryl Streep,1988,ACTRESS IN A LEADING ROLE,A Cry in the Dark,False
Sigourney Weaver,1988,ACTRESS IN A LEADING ROLE,Gorillas in the Mist,False
Joan Cusack,1988,ACTRESS IN A SUPPORTING ROLE,Working Girl,False
Geena Davis,1988,ACTRESS IN A SUPPORTING ROLE,The Accidental Tourist,True
Frances McDormand,1988,ACTRESS IN A SUPPORTING ROLE,Mississippi Burning,False
Michelle Pfeiffer,1988,ACTRESS IN A SUPPORTING ROLE,Dangerous Liaisons,False
Sigourney Weaver,1988,ACTRESS IN A SUPPORTING ROLE,Working Girl,False
Kenneth Branagh,1989,ACTOR IN A LEADING ROLE,Henry V,False
Tom Cruise,1989,ACTOR IN A LEADING ROLE,Born on the Fourth of July,False
Daniel Day Lewis,1989,ACTOR IN A LEADING ROLE,My Left Foot,True
Morgan Freeman,1989,ACTOR IN A LEADING ROLE,Driving Miss Daisy,False
Robin Williams,1989,ACTOR IN A LEADING ROLE,Dead Poets Society,False
Danny Aiello,1989,ACTOR IN A SUPPORTING ROLE,Do the Right Thing,False
Dan Aykroyd,1989,ACTOR IN A SUPPORTING ROLE,Driving Miss Daisy,False
Marlon Brando,1989,ACTOR IN A SUPPORTING ROLE,A Dry White Season,False
Martin Landau,1989,ACTOR IN A SUPPORTING ROLE,Crimes and Misdemeanors,False
Denzel Washington,1989,ACTOR IN A SUPPORTING ROLE,Glory,True
Isabelle Adjani,1989,ACTRESS IN A LEADING ROLE,Camille Claudel,False
Pauline Collins,1989,ACTRESS IN A LEADING ROLE,Shirley Valentine,False
Jessica Lange,1989,ACTRESS IN A LEADING ROLE,Music Box,False
Michelle Pfeiffer,1989,ACTRESS IN A LEADING ROLE,The Fabulous Baker Boys,False
Jessica Tandy,1989,ACTRESS IN A LEADING ROLE,Driving Miss Daisy,True
Brenda Fricker,1989,ACTRESS IN A SUPPORTING ROLE,My Left Foot,True
Anjelica Huston,1989,ACTRESS IN A SUPPORTING ROLE,"Enemies, A Love Story",False
Lena Olin,1989,ACTRESS IN A SUPPORTING ROLE,"Enemies, A Love Story",False
Julia Roberts,1989,ACTRESS IN A SUPPORTING ROLE,Steel Magnolias,False
Dianne Wiest,1989,ACTRESS IN A SUPPORTING ROLE,Parenthood,False
Kevin Costner,1990,ACTOR IN A LEADING ROLE,Dances With Wolves,False
Robert De Niro,1990,ACTOR IN A LEADING ROLE,Awakenings,False
Gerard Depardieu,1990,ACTOR IN A LEADING ROLE,Cyrano de Bergerac,False
