name,year,award,movie,win
Jeanne Crain,1949,ACTRESS,Pinky,False
Olivia de Havilland,1949,ACTRESS,The Heiress,True
Susan Hayward,1949,ACTRESS,My Foolish Heart,False
Deborah Kerr,1949,ACTRESS,"Edward, My Son",False
Loretta Young,1949,ACTRESS,Come to the Stable,False
Ethel Barrymore,1949,ACTRESS IN A SUPPORTING ROLE,Pinky,False
Celeste Holm,1949,ACTRESS IN A SUPPORTING ROLE,Come to the Stable,False
Elsa Lanchester,1949,ACTRESS IN A SUPPORTING ROLE,Come to the Stable,False
Mercedes McCambridge,1949,ACTRESS IN A SUPPORTING ROLE,All the King's Men,True
Ethel Waters,1949,ACTRESS IN A SUPPORTING ROLE,Pinky,False
Louis Calhern,1950,ACTOR,The Magnificent Yankee,False
José Ferrer,1950,ACTOR,Cyrano de Bergerac,True
William Holden,1950,ACTOR,Sunset Blvd.,False
James Stewart,1950,ACTOR,Harvey,False
Spencer Tracy,1950,ACTOR,Father of the Bride,False
Jeff Chandler,1950,ACTOR IN A SUPPORTING ROLE,Broken Arrow,False
Edmund Gwenn,1950,ACTOR IN A SUPPORTING ROLE,Mister 880,False
Sam Jaffe,1950,ACTOR IN A SUPPORTING ROLE,The Asphalt Jungle,False
George Sanders,1950,ACTOR IN A SUPPORTING ROLE,All about Eve,True
Erich von Stroheim,1950,ACTOR IN A SUPPORTING ROLE,Sunset Blvd.,False
Anne Baxter,1950,ACTRESS,All about Eve,False
Bette Davis,1950,ACTRESS,All about Eve,False
Judy Holliday,1950,ACTRESS,Born Yesterday,True
Eleanor Parker,1950,ACTRESS,Caged,False
Gloria Swanson,1950,ACTRESS,Sunset Blvd.,False
Hope Emerson,1950,ACTRESS IN A SUPPORTING ROLE,Caged,False
Celeste Holm,1950,ACTRESS IN A SUPPORTING ROLE,All about Eve,False
Josephine Hull,1950,ACTRESS IN A SUPPORTING ROLE,Harvey,True
Nancy Olson,1950,ACTRESS IN A SUPPORTING ROLE,Sunset Blvd.,False
Thelma Ritter,1950,ACTRESS IN A SUPPORTING ROLE,All about Eve,False
Humphrey Bogart,1951,ACTOR,The African Queen,True
Marlon Brando,1951,ACTOR,A Streetcar Named Desire,False
Montgomery Clift,1951,ACTOR,A Place in the Sun,False
